epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,16008.5,0.85422,0.83935,0.96876,0.41397,0.79344,0.43557,0.31962,0.97189,1.61634,1.03526,0.000775822,0.000775822,0.000775822
56,16289.4,0.86721,0.84297,0.97449,0.42165,0.68747,0.43796,0.311,1.01177,1.27141,1.03298,0.000759318,0.000759318,0.000759318
57,16569.8,0.86915,0.79868,0.97318,0.38527,0.7697,0.38808,0.28092,0.96651,1.77304,1.04422,0.000742815,0.000742815,0.000742815
58,16850.8,0.87963,0.82275,0.97897,0.42406,0.80108,0.43362,0.3201,0.9675,1.49922,1.0231,0.000726312,0.000726312,0.000726312
59,17131.9,0.86127,0.81672,0.96968,0.39639,0.83933,0.42954,0.31699,0.96289,1.51335,1.01783,0.000709809,0.000709809,0.000709809
60,17413.6,0.87188,0.78225,0.97448,0.42689,0.85349,0.44983,0.32548,1.01129,1.51833,1.03241,0.000693305,0.000693305,0.000693305
61,17693.2,0.87134,0.81871,0.97393,0.40325,0.81415,0.45604,0.34325,0.90367,1.41082,0.99373,0.000676802,0.000676802,0.000676802
62,17974.1,0.86133,0.78448,0.96354,0.41078,0.83464,0.42186,0.30825,0.9765,1.56067,1.0466,0.000660299,0.000660299,0.000660299
63,18255.9,0.86563,0.7963,0.9767,0.41356,0.84678,0.4368,0.32845,0.93593,1.46794,1.00537,0.000643795,0.000643795,0.000643795
64,18537.9,0.83659,0.77715,0.9584,0.38688,0.82538,0.42083,0.30475,0.94519,1.50239,1.02281,0.000627292,0.000627292,0.000627292
65,18818.9,0.83907,0.76846,0.959,0.40229,0.79094,0.46196,0.32695,1.00989,1.67655,1.06051,0.000610789,0.000610789,0.000610789
66,19099.9,0.8183,0.75158,0.96332,0.43684,0.83896,0.44714,0.32918,0.96312,1.48847,1.03648,0.000594286,0.000594286,0.000594286
67,19380.8,0.81831,0.72349,0.96281,0.42418,0.79642,0.45669,0.33656,0.94686,1.64144,1.03454,0.000577782,0.000577782,0.000577782
68,19661.5,0.83663,0.7318,0.97204,0.40913,0.8134,0.42173,0.31006,0.92965,1.56547,1.01142,0.000561279,0.000561279,0.000561279
69,19942.2,0.81728,0.73203,0.95413,0.39296,0.78045,0.43614,0.31672,0.97407,1.76158,1.04941,0.000544776,0.000544776,0.000544776
70,20223.2,0.80421,0.71894,0.94483,0.45052,0.82197,0.49609,0.35978,0.96891,1.37001,1.02307,0.000528272,0.000528272,0.000528272
71,20504.6,0.80214,0.70064,0.96152,0.42567,0.8324,0.45353,0.32949,0.99162,1.61049,1.04159,0.000511769,0.000511769,0.000511769
